ionizable_lipid_pct,cholesterol_pct,helper_lipid_pct,peg_lipid_pct,np_ratio,flow_rate_ratio,ph_buffer,size_nm,pdi,encaps_pct,zeta_mv
47.502,42.101,7.114,3.266,5.276,3.424,4.298,117.837,0.106,89.924,3.848
52.944,42.76,12.028,2.965,4.517,2.053,5.081,122.319,0.121,82.685,6.348
50.514,43.529,13.344,3.17,5.739,3.778,4.349,116.696,0.098,90.181,5.863
39.504,33.016,11.104,2.213,6.943,3.773,5.048,133.165,0.088,83.317,-0.652
41.003,38.806,12.807,3.272,3.607,3.664,5.386,116.03,0.112,81.924,-0.962
52.471,34.791,8.811,0.926,5.284,2.834,5.109,142.92,0.114,85.295,5.779
35.105,38.05,8.588,0.882,3.802,2.635,4.687,127.321,0.108,82.657,-4.951
51.425,31.934,9.905,0.855,6.975,2.759,5.872,137.27,0.102,82.041,2.253
50.941,49.357,8.435,1.482,7.983,1.6,6.12,125.655,0.1,80.114,5.342
44.359,34.3,9.768,1.471,5.261,4.033,4.038,128.25,0.089,90.902,1.097
41.061,43.435,14.585,1.306,5.23,3.127,3.909,133.469,0.091,90.08,-0.007
40.569,36.008,11.587,2.331,6.237,2.663,3.84,117.669,0.114,90.261,-3.262
40.097,47.482,9.721,0.905,4.29,3.144,6.439,136.044,0.096,76.485,-1.499
43.902,43.244,9.172,2.394,4.484,3.665,6.325,124.948,0.093,78.624,0.051
45.091,32.632,14.616,1.248,4.979,2.644,4.192,127.347,0.084,89.118,0.249
46.07,46.901,10.556,2.63,5.745,3.992,6.41,120.925,0.086,79.93,-1.348
54.91,48.899,14.843,0.857,3.489,4.258,4.123,136.158,0.122,86.966,5.953
50.853,48.078,11.124,1.639,7.516,2.662,5.019,131.093,0.105,86.161,5.773
47.444,41.394,11.169,3.334,6.474,1.913,4.992,116.765,0.103,86.946,3.293
54.779,32.909,14.172,2.254,4.798,3.781,6.245,125.554,0.089,79.531,5.488
39.306,33.849,12.942,2.991,3.465,4.479,3.622,116.661,0.124,87.202,-1.369
38.204,48.558,11.645,2.577,7.579,1.944,4.446,116.026,0.126,89.611,-0.763
47.251,41.047,10.413,2.449,3.786,3.638,5.3,119.424,0.088,80.4,-1.515
35.879,33.611,14.026,1.316,3.799,3.976,3.699,127.202,0.11,89.656,-3.247
35.714,47.681,10.293,2.351,3.784,4.262,4.21,124.136,0.104,89.665,-2.328
45.298,42.831,14.382,0.907,3.488,1.87,4.895,127.705,0.124,86.081,2.672
44.324,41.394,7.55,2.964,8.438,1.775,6.143,120.074,0.116,80.103,3.713
53.343,37.526,10.44,3.392,4.615,4.464,5.783,118.288,0.119,80.671,7.374
47.585,38.219,11.156,3.106,4.838,1.85,5.987,116.537,0.101,80.617,3.261
45.282,34.79,14.608,0.937,7.997,2.03,5.783,137.037,0.099,82.761,2.094
44.937,30.761,9.008,1.714,6.72,3.225,5.623,126.359,0.104,84.17,2.649
39.95,47.524,13.448,1.659,4.123,2.839,6.049,132.792,0.109,80.666,-1.834
35.236,39.355,12.412,1.104,5.609,3.751,5.544,125.397,0.086,80.936,-3.442
38.848,40.953,12.737,2.492,8.304,2.072,5.707,122.488,0.109,82.698,-0.217
48.841,36.443,12.037,2.953,5.252,4.243,4.405,121.032,0.09,91.716,6.356
39.012,45.026,14.772,1.647,7.265,2.152,4.003,123.483,0.091,92.993,-1.733
42.391,30.504,9.661,3.13,3.581,3.807,5.77,120.565,0.128,81.685,0.123
35.075,37.444,10.186,2.952,7.364,1.703,3.998,115.82,0.115,87.781,-3.165
51.601,30.607,8.623,1.149,7.659,2.92,6.258,137.187,0.101,81.266,6.815
38.089,32.458,7.406,2.871,7.955,1.598,5.29,117.988,0.109,83.692,-2.001
40.352,49.343,8.703,3.183,7.045,2.441,4.488,112.708,0.115,83.657,1.38
52.607,43.155,14.324,1.333,5.224,2.437,6.31,133.572,0.09,80.584,3.853
45.196,38.564,13.721,2.349,3.385,3.659,3.965,124.619,0.132,86.751,1.319
51.943,40.475,7.899,2.525,6.113,2.865,5.043,129.801,0.115,84.1,4.674
47.794,47.456,11.83,2.445,7.545,1.67,3.775,121.199,0.108,88.368,4.077
49.835,36.884,10.834,1.06,4.145,4.486,6.396,134.488,0.097,81.08,5.486
36.83,41.806,11.757,2.585,4.597,4.166,5.226,112.641,0.11,84.006,-4.849
45.823,43.674,12.274,2.506,6.217,4.249,5.911,126.244,0.091,82.814,0.539
45.155,37.108,9.453,3.024,7.49,2.24,4.346,115.677,0.11,92.575,2.083
52.427,40.382,14.691,2.969,8.38,2.682,5.905,116.044,0.125,83.757,4.225
42.225,45.305,10.727,1.683,3.754,2.182,5.609,127.311,0.095,81.954,-2.171
46.964,48.184,12.025,2.75,4.106,1.875,5.431,126.936,0.124,82.846,4.04
36.185,33.021,12.082,3.142,7.797,1.599,6.352,109.556,0.122,76.282,-2.167
42.753,48.668,8.471,3.211,6.867,3.01,4.8,113.478,0.117,85.915,1.116
41.461,30.104,7.495,1.236,7.326,1.869,4.745,127.177,0.095,88.064,-0.983
38.004,45.06,10.292,0.872,8.981,2.029,5.576,126.615,0.112,82.525,-0.455
51.327,46.211,13.112,2.557,8.635,4.081,6.005,127.027,0.113,80.087,4.303
42.589,32.735,13.522,1.38,8.058,2.953,4.505,126.439,0.1,89.817,1.939
54.575,38.378,12.84,2.322,7.663,2.051,5.509,125.451,0.103,81.58,4.92
46.8,46.305,7.906,3.351,5.37,3.51,4.127,120.872,0.116,90.748,1.119
